property_type,design,quality,eff_yr_built,above_grd_sf,basemt_tot_sf,basemt_fin_sf,basemt_unf_sf,garage_type,garage_sf,est_land_sf,distress_sale,sale_date_(mon-yr),sale_price,time_adjust_sales_price,market_area,full_address,lat,lon,sale_date
Res,Ranch,Average,1954,792,0,0,0,Detached,240,6435,0,2022-06-02 00:00:00,775000.0,775000.0,104,"308 27TH ST, BOULDER, CO",39.99589735,-105.2594449,2022-06
Res,Ranch,Average,1980,902,0,0,0,Attached,286,7047,0,2020-09-28 00:00:00,570000.0,780400.0,104,"204 28TH ST, BOULDER, CO",39.9947199,-105.25909301279731,2020-09
Res,Ranch,Average,1993,800,0,0,0,Attached,220,6164,0,2020-02-20 00:00:00,575000.0,833000.0,104,"215 28TH ST, BOULDER, CO",39.99516075,-105.25920463733928,2020-02
Res,Ranch,Average,1970,990,0,0,0,,0,5901,0,2021-10-01 00:00:00,735000.0,848100.0,104,"235 28TH ST, BOULDER, CO",39.99544885,-105.25902165,2021-10
Res,Ranch,Average,1970,792,0,0,0,,0,5704,0,2021-08-13 00:00:00,691500.0,836900.0,104,"265 28TH ST, BOULDER, CO",39.995920999999996,-105.2589805,2021-08
Res,Ranch,Average,1987,1122,0,0,0,,0,6313,0,2021-02-19 00:00:00,658900.0,853100.0,104,"335 28TH ST, BOULDER, CO",39.9964329,-105.2589745001606,2021-02
Res,Ranch,Average,2000,1182,0,0,0,Attached,250,6438,0,2021-07-16 00:00:00,813000.0,997800.0,104,"395 28TH ST, BOULDER, CO",39.997438700000004,-105.25903638005636,2021-07
Res,Ranch,Average,1995,1050,0,0,0,Carport,253,5947,0,2021-11-05 00:00:00,750000.0,841600.0,104,"205 29TH ST, BOULDER, CO",39.9943702,-105.258922775,2021-11
Res,2-3 Story,Good,2000,1876,0,0,0,,0,5974,0,2022-05-02 00:00:00,1240000.0,1237900.0,104,"225 29TH ST, BOULDER, CO",39.9948857,-105.25838839567982,2022-05
Res,Ranch,Average,1980,1224,0,0,0,Detached,518,6541,0,2021-10-19 00:00:00,799000.0,922000.0,104,"240 29TH ST, BOULDER, CO",39.9949986,-105.25769678884384,2021-10
Res,Ranch,Average,1975,1204,0,0,0,,0,7174,0,2021-04-14 00:00:00,625000.0,798100.0,104,"301 29TH ST, BOULDER, CO",39.9961399,-105.2580991479254,2021-04
Res,Ranch,Average,1970,970,0,0,0,Attached,252,6277,0,2021-09-14 00:00:00,630000.0,744500.0,104,"370 29TH ST, BOULDER, CO",39.99756765,-105.25665700235243,2021-09
Res,Ranch,Average,1954,960,0,0,0,Attached,240,6238,0,2019-11-22 00:00:00,530000.0,760400.0,104,"125 30TH ST, BOULDER, CO",39.9938739,-105.25825867524765,2019-11
