Accout Number,Property Type,Property Address Street Number,Property Address Street Dir,Property Address Street Name,Property Address Street Suffix,Property Address Unit Number,Location,Design,Quality,Eff Yr Built,Above Grd SF,Basemt Tot SF,Basemt Fin SF,Basemt Unf SF,Garage Type,Garage SF,Est Land SF,Reception No,Distress Sale,Sale Date (Mon-Yr),Sale Price,Time Adjust Sales Price,Market Area,lat,lon
R0002164,Res,308,,27TH,ST,,BOULDER,Ranch,Average,1954,792,0,0,0,Detached,240,"6,435",3965545,No,2022-06-02 00:00:00,"$775,000","$775,000",104,39.99589735,-105.2594449
R0003172,Res,204,,28TH,ST,,BOULDER,Ranch,Average,1980,902,0,0,0,Attached,286,"7,047",3820750,No,2020-09-28 00:00:00,"$570,000","$780,400",104,39.9947199,-105.25909301279732
R0007146,Res,215,,28TH,ST,,BOULDER,Ranch,Average,1993,800,0,0,0,Attached,220,"6,164",3767333,No,2020-02-20 00:00:00,"$575,000","$833,000",104,39.99516075,-105.25920463733928
R0007147,Res,235,,28TH,ST,,BOULDER,Ranch,Average,1970,990,0,0,0,,0,"5,901",3921249,No,2021-10-01 00:00:00,"$735,000","$848,100",104,39.99544885,-105.25902165
R0005514,Res,265,,28TH,ST,,BOULDER,Ranch,Average,1970,792,0,0,0,,0,"5,704",3907088,No,2021-08-13 00:00:00,"$691,500","$836,900",104,39.995921,-105.2589805
R0000535,Res,335,,28TH,ST,,BOULDER,Ranch,Average,1987,"1,122",0,0,0,,0,"6,313",3861051,No,2021-02-19 00:00:00,"$658,900","$853,100",104,39.9964329,-105.2589745001606
R0001561,Res,395,,28TH,ST,,BOULDER,Ranch,Average,2000,"1,182",0,0,0,Attached,250,"6,438",3903298,No,2021-07-16 00:00:00,"$813,000","$997,800",104,39.9974387,-105.25903638005636
R0007330,Res,205,,29TH,ST,,BOULDER,Ranch,Average,1995,"1,050",0,0,0,Carport,253,"5,947",3927173,No,2021-11-05 00:00:00,"$750,000","$841,600",104,39.9943702,-105.258922775
R0007013,Res,225,,29TH,ST,,BOULDER,2-3 Story,Good,2000,"1,876",0,0,0,,0,"5,974",3959867,No,2022-05-02 00:00:00,"$1,240,000","$1,237,900",104,39.9948857,-105.25838839567982
R0006114,Res,240,,29TH,ST,,BOULDER,Ranch,Average,1980,"1,224",0,0,0,Detached,518,"6,541",3922314,No,2021-10-19 00:00:00,"$799,000","$922,000",104,39.9949986,-105.25769678884384
R0008060,Res,301,,29TH,ST,,BOULDER,Ranch,Average,1975,"1,204",0,0,0,,0,"7,174",3877228,No,2021-04-14 00:00:00,"$625,000","$798,100",104,39.9961399,-105.2580991479254
R0002094,Res,370,,29TH,ST,,BOULDER,Ranch,Average,1970,970,0,0,0,Attached,252,"6,277",3914073,No,2021-09-14 00:00:00,"$630,000","$744,500",104,39.99756765,-105.25665700235244
R0004594,Res,125,,30TH,ST,,BOULDER,Ranch,Average,1954,960,0,0,0,Attached,240,"6,238",3751265,No,2019-11-22 00:00:00,"$530,000","$760,400",104,39.9938739,-105.25825867524765
R0000420,Res,130,,30TH,ST,,BOULDER,Ranch,Average,2000,"1,725",0,0,0,Attached,200,"6,342",3742788,No,2019-10-10 00:00:00,"$755,000","$1,070,600",104,39.99361975,-105.25790420684172
R0004837,Res,265,,30TH,ST,,BOULDER,Ranch,Average,2000,"1,713",0,0,0,,0,"6,417",3896626,No,2021-06-28 00:00:00,"$1,010,000","$1,264,400",104,39.995643400000006,-105.25712574586592
R0006158,Res,90,S,31ST,ST,,BOULDER,Ranch,Average,1981,"1,160",0,0,0,Attached,135,"7,253",3727956,No,2019-08-01 00:00:00,"$640,000","$909,400",104,39.99170635,-105.25566088876812
R0008264,Res,130,S,31ST,ST,,BOULDER,Ranch,Average,2001,"1,026",0,0,0,Attached,270,"7,176",3921904,No,2021-10-15 00:00:00,"$810,000","$934,700",104,39.99103635,-105.25565212525017
R0008264,Res,130,S,31ST,ST,,BOULDER,Ranch,Average,1975,"1,026",0,0,0,Attached,270,"7,176",3813519,No,2020-09-02 00:00:00,"$613,100","$839,400",104,39.99103635,-105.25565212525017
R0003358,Res,70,,31ST,ST,,BOULDER,Ranch,Average,1974,"1,296",0,0,0,,0,"7,200",3743657,No,2019-10-15 00:00:00,"$520,000","$743,700",104,39.99204025,-105.2556591248757
R0003358,Res,70,,31ST,ST,,BOULDER,2-3 Story,Good,2007,"2,743",0,0,0,Attached,561,"7,200",3933723,No,2021-11-19 00:00:00,"$1,629,700","$1,836,200",104,39.99204025,-105.2556591248757
R0004583,Res,255,,31ST,ST,,BOULDER,Ranch,Average,1980,"1,069",0,0,0,Carport,219,"7,487",3975407,No,2022-08-03 00:00:00,"$875,000","$875,000",104,39.9952936,-105.25614250474788
R0011485,Res,25,S,32ND,ST,,BOULDER,Ranch,Average,2000,"1,227",0,0,0,,0,"7,391",3816720,No,2020-09-14 00:00:00,"$695,000","$951,500",104,39.993226699999994,-105.25515690849818
R0010971,Res,35,S,32ND,ST,,BOULDER,Ranch,Average,1984,"1,160",0,0,0,Attached,230,"7,198",3891229,No,2021-06-01 00:00:00,"$704,000","$881,300",104,39.993070900000006,-105.25516863211476
R0010519,Res,10,S,33RD,ST,,BOULDER,Ranch,Average,1974,"1,280",0,0,0,Attached,286,"6,748",3961087,No,2022-05-04 00:00:00,"$820,000","$820,000",104,39.992638,-105.25350323965256
R0012876,Res,15,S,33RD,ST,,BOULDER,Ranch,Average,1958,"1,586",0,0,0,,0,"8,621",3947607,No,2022-02-17 00:00:00,"$750,000","$786,700",104,39.9928748,-105.25384641530142
R0012876,Res,15,S,33RD,ST,,BOULDER,Ranch,Average,1958,"1,586",0,0,0,,0,"8,621",3890451,No,2021-05-27 00:00:00,"$662,300","$837,400",104,39.9928748,-105.25384641530142
R0014186,Res,140,S,33RD,ST,,BOULDER,2-3 Story,Average,2001,"2,526",0,0,0,,0,"7,209",3897863,No,2021-07-06 00:00:00,"$985,000","$1,212,900",104,39.9909282,-105.25372620504454
R0010182,Res,155,S,33RD,ST,,BOULDER,Ranch,Average,1988,"1,715",0,0,0,Attached,312,"7,768",3918511,No,2021-09-29 00:00:00,"$850,000","$999,500",104,39.9907019,-105.25428521984487
R0013154,Res,65,S,34TH,ST,,BOULDER,Ranch,Average,1987,"1,040",0,0,0,Attached,286,"6,969",3725950,No,2019-07-24 00:00:00,"$625,000","$885,200",104,39.99197585,-105.25330852922949
